name,id,vio_1,vio_2,vio_3,km,change_acc,avg_speed,collision,collided,max_acc,avg_acc,total_distance,annual_pay,csh_dis,final,payment_due,birth_date,phash
Ngo Thi Minh,BFT695281,2,2,1,115.78,574,48.92,1,2,0.49,0.25,10646,87000000,-923796.0759,86062462,11/2/25,3/8/80,8aa2b113ab912ac877a05879d5fa3c1f
Ngo Van Uyen,BFT268268,5,4,1,145.34,1156,66.4,4,1,0.49,0.57,4810,45000000,6159876.739,50722565,18/4/25,5/9/92,20dfe558c6170e5f10547ca94cb89959
Bui Thi Nhu,BFT512132,3,2,1,21,338,75.03,0,0,0.36,0.15,3496,50000000,-2699593.973,47206835,18/11/24,16/12/94,97283a9c7a57ac8c64e37c8f8ad3e323
Ngo Thi Duyen,BFT815521,3,3,3,437.56,453,64.47,,3,0.41,0.19,6512,75000000,3016531.43,78123350,22/4/25,11/3/85,cc3633dfe134b572d4ae8f10324abfb4
Ngo Van Duy,BFT615347,4,0,1,43.36,559,106.99,1,1,0.48,0.24,12738,87000000,-4456,86995354,5/4/25,2/9/92,7f33f01cbfc307ba305af884141fdfd3
Hoang Van Cam,BFT856073,3,2,2,56.06,199,68.55,0,0,0.24,0.1,8855,75000000,-3378570.256,71616023,8/7/24,18/5/81,5a01b104d1b2b2be7cdc7f728f3b43da
Tran Thi Cuc,BFT552196,2,1,1,217.91,627,122.98,1,0,0.52,0.27,8090,75000000,989803.8121,75983363,12/3/25,15/6/82,2a608e4cabb707ca32a7530b45a4ec24
Ngo Van Dat,BFT985109,5,2,1,169.51,239,65.6,0,1,0.35,0.1,15522,80000000,-3193997.184,76745928,17/7/24,25/8/82,c44ef8b5fd6dc654f644d26bed4a254d
Do Van Khieu,BFT763172,4,3,1,1.89,635,87.37,1,1,0.53,0.27,15312,80000000,2626097.019,82387989,19/6/24,20/12/81,bc6b9c967e266164bf0a998b589d4e26
Vu Thi Hien,BFT354715,2,4,0,209.87,450,77.02,0,1,0.41,0.19,9816,80000000,-2756839,77405328,20/8/24,19/1/83,e848a200c07ca1dc26bb6d285bb0aeca
Vu Van Tien,BFT141593,0,1,2,34.61,404,70.75,0,1,0.39,0.18,11230,300000000,-10314725.73,289125000,17/8/24,28/4/85,a92a0a4b4c5ebd0b71744f8c9bbe9657
Pham Van Thanh,BFT528293,1,2,0,235.82,907,83.08,3,2,0.71,0.39,1000,75000000,3445163.583,78339955,5/7/24,15/10/85,c6660326eb4d9fa9f1f4a0e369f69b74
Truong Thi Thanh,BFT541901,0,3,0,165.29,613,118.22,0,0,0.52,0.26,12901,250000000,-3827263.177,246216750,13/1/25,16/6/91,19ce829bdc8271aadc865c5a9aebbfa2
Dang Van Tung,BFT437650,4,3,1,85.05,655,54.05,1,0,0.54,0.28,12343,87000000,525040,87549838,21/4/25,23/4/88,7c5473b650157ff899bed4db0afe7c82
Le Van Anh,BFT128421,3,2,1,115.32,658,93.79,1,2,0.54,0.28,10168,65000000,1727368.515,66718780,26/1/25,25/9/85,4da1530b8cc3b7f8090a9d5f15be1283
Dinh Van Tung,BFT346628,4,3,1,203.43,478,91.83,0,0,0.43,0.21,9689,75000000,-486417.4728,74525828,8/5/25,18/3/85,f06279e9b5f009c42d4e64cdc9145725
Duong Thi Cam,BFT929441,4,1,1,52.87,716,64.47,2,2,0.59,0.31,5072,50000000,1062163,51021311,27/4/25,16/9/81,291f166cf0acbf97b30a1fb6d9bf82f6
Vu Thi Canh,BFT501771,4,1,1,182.4,222,73.65,0,2,0.24,0.1,8426,65000000,-3539275.852,61442375,2/9/24,9/2/86,1fee8bc7b16988475da62ec75ec3adf5
Ngo Van Bon,BFT378528,4,2,1,92.32,716,108.1,2,1,0.59,0.3,8963,56000000,2924081.798,58961971,14/11/24,27/5/91,0fa9070edb079a06b59b03be9c06426a
Duong Van Kha,BFT817861,4,2,1,172.2,515,53.73,1,2,0.45,0.22,13258,50000000,-136918,49856675,13/12/24,7/7/82,5bf56716d88d292d6e051a6e2cf691a6
Vu Thi Kim,BFT700749,1,2,0,215.36,424,85.46,0,0,0.4,0.19,15923,45000000,-2489428.192,42510654,22/5/25,6/6/83,a872ac74e7e3a18dcb46f23ac069d48f
Bui Van Hoang,BFT363771,3,2,1,215.39,625,84.62,1,0,0.52,0.27,9325,65000000,456765,65456765,1/12/24,20/4/81,f690fcdd8eff9c9effeaf1662ad8cb8b
Do Thi Mai,BFT905333,4,2,0,86.89,331,88.1,0,0,0.27,0.14,16700,50000000,-3125932.678,47091190,7/10/24,28/9/87,049c3f70d62c83c93fa97674888e6d52
Hoang Van Dinh,BFT293543,4,3,2,98.37,504,81.26,1,0,0.45,0.22,7901,65000000,1609294,66685654,7/2/25,31/8/96,987f7b898e4a15f304ffa8098088ef1f
Ngo Van Huu,BFT387781,2,3,0,94.36,515,89.83,1,1,0.45,0.22,8435,65000000,-1077668.643,63908520,24/10/24,7/1/83,17111118fa7595bc09a14e10cdd6bdc3
Le Van Binh,BFT249862,3,4,0,187.38,180,93.52,0,3,0.2,0.1,14684,87000000,-2486522,84381230,29/12/24,12/11/80,9c2e35d0121189338e27a0d729066354
Duong Thi Thuy,BFT472442,3,1,1,177.43,651,80.63,1,1,0.54,0.28,10522,50000000,172621,50179608,14/2/25,13/11/86,b34a756c224f36bd1d245f0ba706899e
Vu Thi Nhi,BFT995448,3,2,1,74.3,336,105.7,0,1,0.59,0.15,13058,80000000,-1122328,78877672,7/7/24,29/9/83,c0a8e5e8a0ac080c97799b2728a17c37
Nguyen Van Tuan,BFT427189,4,4,,146.04,610,40.6,1,2,0.52,0.26,11802,80000000,1598170.024,81543231,4/3/25,17/1/88,f1da2b16d38e8677b728d337dd5f8e68
Bui Thi Hoan,BFT540485,3,3,1,126.91,793,75.64,2,1,0.64,0.33,9656,250000000,13259232,262728455,14/8/24,1/5/88,eaeea3c47131e1a02c4b97e1724ef642
Dang Van Hoang,BFT330974,4,1,0,64.49,616,86.36,1,0,0.52,0.27,9916,56000000,-1435134,54514046,2/1/25,9/3/93,65b5e302e52927114126850b09a16d57
Duong Van Nghia,BFT995697,3,3,1,271.41,439,104.64,0,1,0.41,0.19,6057,45000000,-87477.0104,44905307,3/8/24,17/6/84,29bc38cae037cb48cd177aca78e77ef1
Nguyen Thi My,BFT354803,2,1,,0,473,131.99,0,1,0.42,,7954,65000000,-2329887.888,62533185,28/9/24,2/10/86,6f1096034aa04095e2e5fc771a7d10d2
Tran Van Hieu,BFT168375,0,2,0,157.68,461,77.46,0,2,0.42,0.2,9089,120000000,-6881025.326,113376624,31/3/25,2/10/00,fe80c3e22bd97ac9bca9cfc5634abed4
Hoang Van Duc,BFT605634,1,3,2,191.23,667,94.47,1,0,0.55,0.28,5936,92000000,3578892,95578892,15/11/24,1/5/91,fd85987907d58dae755d329e190551eb
Duong Thi Lien,BFT536416,2,2,1,194.89,807,51.55,2,1,0.65,0.35,4498,92000000,2092241,94092241,28/8/24,16/4/02,4266ba831b37920e88e2d318f8e4f89d
Pham Van Hoang,BFT910009,4,1,0,199.74,510,96.1,1,1,0.45,0.22,12849,50000000,-968593.0515,49020360,7/5/25,10/10/86,178d0be5538061c285d21e1afd874cea
Nguyen Thi Ngoc,BFT834303,4,2,0,71.33,528,86.28,1,1,0.46,0.23,8686,80000000,-1563213.686,78395552,16/8/24,15/11/85,667726ea1a6938729e3f5b46658f350e
Hoang Van Thanh,BFT505198,4,1,0,124.04,648,101.65,1,0,0.54,0.28,9708,80000000,-1066564.207,78940248,28/6/24,13/3/85,fcab13151457af2d5305b1b37ef47360
Nguyen Thi Hoai,BFT815175,3,2,1,29.73,299,117.55,0,2,0.6,0.13,10407,80000000,-615240,79384760,26/9/24,6/9/85,32870c68431cfb2e487b15374e2be0ac
Vu Van Phat,BFT573866,4,2,1,600.67,458,121.28,0,0,0.42,0.2,5183,100000000,520059,100503933,20/6/24,7/2/80,6446d35ae7b68b1b99b9199f5dbbd19d
Vu Van San,BFT164650,1,0,1,74.79,773,94.69,1,0,0.47,0.23,14901,75000000,-1051829,74001398,14/7/24,9/11/82,884ade231c8b59fcdeed0ca4bfdf3468
Nguyen Van An,BFT557057,4,2,1,43.02,180,103.37,0,0,0.2,0.1,8968,56000000,-2793943,53333515,28/12/24,13/1/82,6018792a081a30e4b63b596499548b92
Le Van Tam,BFT539713,4,2,1,207.51,591,84.11,1,0,0.5,0.25,18395,50000000,705199.2948,50738738,5/11/24,12/2/87,bd6ea2c577eef500b300e2970bbacb47
Dinh Thi Duyen,BFT285665,2,2,1,89.34,571,77.53,1,1,0.49,0.25,5450,50000000,-333398.5605,49650855,30/11/24,4/7/81,7cfc0c60beeb66f655fc4f658d04191a
Dinh Thi Hien,BFT306638,2,3,1,117.45,670,109.93,1,3,0.55,0.28,14944,92000000,4814083,96985587,18/9/24,8/10/86,5a0e16920d1601ead36e1d3b65c434dd
Hoang Thi Lan,BFT607421,3,1,2,8.35,611,73.82,1,1,0.52,0.26,14158,92000000,1506029.131,93594863,13/4/25,28/7/82,ab9907100fdb9cc20600878907896fdb
Hoang Van Nhat,BFT359985,1,4,0,162.95,690,86.75,1,0,0.56,0.29,4740,75000000,-129222.08,74880135,19/1/25,10/7/89,d5f2997d23195936c86549b8731b39b5
Ngo Thi Hue,BFT373275,3,2,1,166.82,482,87.6,0,1,0.43,0.21,10462,75000000,-1306661.625,73737525,20/4/25,4/9/82,adec267c931de0a834ecd78bcba2a3af
Bui Van Luat,BFT517436,3,2,1,175,640,115.64,1,1,0.53,0.27,8407,120000000,3540374.528,123622514,26/8/24,21/4/83,860074a1d2f3dd0170c63773b59af218
Dinh Thi Thien,BFT308024,4,2,0,102.92,778,53.08,1,1,0.37,0.23,12798,75000000,-1856685,73143315,10/12/24,8/3/97,38bc8a6356b2fefaa2601f6e2952c6da
Dinh Van Bao,BFT986914,3,2,1,162.83,535,63.03,2,1,0.63,0.33,5773,65000000,1033234.5,66147739,23/3/25,18/9/81,a088d054c0e510e5c94bedba18a42a10
Tran Thi Anh,BFT752617,2,1,2,78.33,572,60.62,1,1,0.49,0.25,9932,65000000,18614,65019485,16/3/25,11/10/86,11ab6965c47dff555bde26b711e9b054
Bui Van Long,BFT798831,5,3,0,156.68,330,80.28,0,3,0.26,0.14,8796,75000000,-2832421.76,72471053,15/4/25,10/12/93,2f17ef9431e790f2041f5de764687223
Vu Van Thu,BFT166447,2,3,1,66.8,487,97.69,0,0,0.43,0.21,11166,300000000,-4318531.59,296042550,5/5/25,4/3/91,a5a81d1d684b8e1cfe1958fa6141e3fa
Le Van Luong,BFT784232,2,2,1,209.55,809,99.12,2,1,0.65,0.35,11233,250000000,16551197.01,264076960,2/8/24,17/2/90,cdb2613884a8af9c9051be23c3d8b412
Nguyen Van Hieu,BFT858731,2,1,2,213.43,494,94.13,1,3,0.44,0.21,12134,65000000,2269052.116,66917963,24/9/24,17/6/84,370ec33f72596bc41f99fc23d9dfe4e3
Tran Van Tu,BFT137430,4,2,1,124.84,383,78.06,0,1,0.38,0.17,9299,87000000,-2524714,84343525,4/8/24,18/5/82,fa45ec88757ffb2fdf00ba491b2e111c
Ngo Van Kim,BFT492086,3,2,0,53.81,489,116.38,0,2,0.43,0.21,12262,65000000,-1297437.426,63773600,10/7/24,4/8/88,478b6fc88d011ed224a20b6c6ae351db
Truong Van Trong,BFT678098,2,1,1,213.71,382,94.9,0,1,0.47,0.17,12303,80000000,-2231931.135,77497416,21/6/24,15/4/85,b53447d288834605d70e61a1e344f645
Tran Van Quang,BFT799523,0,1,0,57.63,772,91.27,1,0,0.46,0.23,5673,120000000,-4466544.852,115010916,12/11/24,22/4/82,4b804315cf9e2594715e528ec4f03849
Duong Thi Lien,BFT102801,1,4,1,198.11,448,79.32,4,2,0.41,0.19,8330,50000000,3107991.642,52978864,4/5/25,15/7/82,47d3035937bf8eb97db8f799306b7976
Bui Van Minh,BFT642932,5,2,1,203.53,816,85.59,2,1,0.66,0.36,16656,80000000,5566035.696,85357810,3/4/25,15/3/91,285784137938a21c979441ff893b4adf
Duong Van Binh,BFT981884,4,2,1,216.68,550,113.07,1,1,0.48,0.24,11417,45000000,1201114,46261542,21/10/24,4/6/87,8538cf9aedb50a0a3bde8affeba313d6
